Area Codes,All Ages
E06000047,"523,662"
E01020634,"1,632"
E01020635,"1,329"
E01020636,"1,725"
E01020654,"1,826"
E01020676,"1,517"
E01020613,"1,366"
E01020614,"1,376"
E01020622,"1,597"
E01020623,"1,496"
E01020627,"1,497"
E01020628,"1,817"
E01020629,"1,588"
E01020655,"2,050"
E01020656,"1,516"
E01020657,"1,512"
E01020661,"2,009"
E01020662,"1,784"
E01020663,"1,878"
E01020674,"1,585"
E01020678,"1,342"
E01020606,"1,403"
E01020615,"1,747"
E01020616,"1,702"
E01020617,"2,212"
E01020626,"1,547"
E01020638,"1,572"
E01020639,"1,642"
E01020653,"1,571"
E01020677,"1,476"
E01020596,"1,661"
E01020597,"1,428"
E01020598,"1,740"
E01020611,"1,353"
E01020612,"1,571"
E01020647,"2,165"
E01020648,"2,354"
E01020649,"1,602"
E01020673,"1,533"
E01020675,"1,802"
E01020624,"1,567"
E01020625,"1,758"
E01020670,"1,555"
E01020671,"1,310"
E01020672,"1,736"
E01020632,"1,722"
E01020640,"2,333"
E01020641,"2,154"
E01020642,"1,371"
E01020643,"2,143"
E01020667,"1,541"
E01020592,"1,596"
E01020593,"1,235"
E01020599,"1,730"
E01020601,"1,481"
E01020602,"1,789"
E01020618,"1,819"
E01020650,"2,430"
E01020651,"1,716"
E01020652,"2,218"
E01020668,"1,410"
E01020669,"1,504"
E01020594,"1,655"
E01020595,"1,718"
E01020600,"1,487"
E01020603,"1,773"
E01020605,"1,738"
E01020630,"1,422"
E01020631,"1,608"
E01020637,"1,629"
E01020644,"3,332"
E01020645,"1,559"
E01020590,"1,279"
E01020591,"1,417"
E01020608,"1,837"
E01020609,"1,341"
E01020610,"1,467"
E01020750,"1,158"
E01020781,"1,105"
E01020786,"1,572"
E01020787,"1,789"
E01033163,"2,196"
E01033202,"1,166"
E01020740,"1,433"
E01020741,"1,241"
E01020742,"1,716"
E01020782,"1,300"
E01020783,"1,287"
E01020784,"1,607"
E01020743,"1,441"
E01020747,"1,261"
E01020748,"1,270"
E01020749,"1,371"
E01020773,"1,441"
E01020775,"1,694"
E01020604,"1,409"
E01020607,"1,694"
E01020619,"1,591"
E01020620,"1,606"
E01020621,"2,012"
E01020633,"1,654"
E01020664,"1,434"
E01020665,"1,389"
E01020666,"1,409"
E01020776,"1,812"
E01033161,"1,669"
E01033198,"1,535"
E01033205,"1,525"
E01033206,"1,590"
E01020709,"2,895"
E01020717,"1,605"
E01020718,"1,385"
E01020719,"1,309"
E01020721,"1,154"
E01020708,"1,222"
E01020710,"1,676"
E01020711,"1,872"
E01020720,"1,398"
E01020646,"1,585"
E01020658,"1,876"
E01020659,"1,483"
E01020660,"1,684"
E01020751,"1,823"
E01020752,"1,052"
E01020754,"1,371"
E01020756,"1,405"
E01020679,"1,558"
E01020680,"1,623"
E01020681,"1,539"
E01020714,"1,558"
E01020716,"1,711"
E01020725,"1,458"
E01020726,"1,220"
E01020727,"1,186"
E01020729,"2,188"
E01020730,"1,673"
E01020731,"1,453"
E01020682,"1,814"
E01020683,"1,487"
E01020690,"1,263"
E01020691,"1,376"
E01020692,"1,437"
E01020693,"1,452"
E01020722,"2,182"
E01020723,"1,931"
E01020724,"1,726"
E01020703,"2,738"
E01033164,"2,250"
E01033195,"1,287"
E01033197,"3,087"
E01033221,"4,492"
E01020705,"1,537"
E01020706,"1,812"
E01020715,"2,671"
E01020745,"1,294"
E01020753,"1,891"
E01020757,"1,101"
E01020758,"1,395"
E01020759,"1,214"
E01020765,"1,624"
E01020684,"2,790"
E01020702,"2,696"
E01020704,"2,248"
E01020712,"1,891"
E01020713,"2,378"
E01020760,"1,800"
E01020761,"1,517"
E01020762,"1,521"
E01020763,"1,872"
E01020733,"1,146"
E01020734,"1,230"
E01020735,"1,402"
E01020770,"1,183"
E01020771,"1,056"
E01020780,"1,312"
E01020764,"1,223"
E01020766,"1,330"
E01020767,"1,778"
E01020768,"1,541"
E01020746,"1,130"
E01020769,"1,261"
E01020777,"1,401"
E01020778,"1,145"
E01020779,"1,578"
E01020685,"1,631"
E01020686,"1,575"
E01020687,"1,380"
E01020688,"1,516"
E01020689,"1,496"
E01020736,"1,257"
E01020737,"1,363"
E01020738,975
E01020739,"1,230"
E01020744,988
E01020788,"1,508"
E01020789,"1,505"
E01020790,"1,244"
E01020791,"1,343"
E01020792,"1,535"
E01020694,"1,528"
E01020696,"1,302"
E01020697,"1,691"
E01020732,"2,130"
E01020889,"1,382"
E01020890,"1,799"
E01020891,"1,614"
E01020905,"1,559"
E01020906,"1,689"
E01020772,"2,043"
E01020793,"1,678"
E01020794,"1,762"
E01020795,"1,803"
E01020695,"1,974"
E01020698,"1,651"
E01020699,"1,312"
E01020700,"1,553"
E01020701,"1,405"
E01020876,"1,718"
E01020878,"1,773"
E01020887,"1,983"
E01020892,"1,081"
E01020894,"1,237"
E01020898,"1,532"
E01020877,"1,485"
E01020879,"2,149"
E01020893,"1,936"
E01020899,"1,311"
E01020903,"1,146"
E01020904,"1,708"
E01020817,"1,306"
E01020818,"1,421"
E01020819,"1,032"
E01020837,"1,599"
E01020843,"1,613"
E01020809,"1,440"
E01020810,"1,286"
E01020811,"1,311"
E01020812,"1,450"
E01020827,"1,826"
E01020806,"1,369"
E01020807,"1,243"
E01020820,"1,776"
E01020842,"2,439"
E01020797,"2,458"
E01020798,"1,477"
E01020799,"1,333"
E01020808,"1,427"
E01020873,"1,419"
E01020875,"1,362"
E01020900,"1,654"
E01020901,"1,281"
E01020902,"1,470"
E01020821,"2,098"
E01020822,"1,846"
E01020823,"1,708"
E01020835,"1,571"
E01020836,"2,608"
E01020803,"2,371"
E01020805,"1,928"
E01033203,"2,729"
E01020796,"1,294"
E01020828,"1,631"
E01020829,"2,409"
E01020830,"1,516"
E01020868,"1,927"
E01020869,"1,359"
E01020874,"1,593"
